utc,util_pct,mem_used_mib,n_procs
2026-09-01T23:43:07Z,100,12947,5
2026-09-01T23:43:12Z,100,13785,5
2026-09-01T23:43:17Z,100,15457,5
2026-09-01T23:43:22Z,100,13895,5
2026-09-01T23:43:27Z,100,15179,5
2026-09-01T23:43:32Z,100,15179,5
2026-09-01T23:43:37Z,100,15179,5
2026-09-01T23:43:42Z,100,10486,4
2026-09-01T23:43:47Z,100,8390,3
2026-09-01T23:43:52Z,100,8002,3
2026-09-01T23:43:57Z,100,7030,3
2026-09-01T23:44:02Z,99,9735,5
2026-09-01T23:44:07Z,100,14329,5
2026-09-01T23:44:12Z,100,12182,4
2026-09-01T23:44:17Z,100,12182,4
2026-09-01T23:44:22Z,100,12182,4
2026-09-01T23:44:28Z,100,12182,4
2026-09-01T23:44:33Z,100,12182,4
2026-09-01T23:44:38Z,100,12182,4
2026-09-01T23:44:43Z,100,12182,4
2026-09-01T23:44:48Z,100,12185,4
2026-09-01T23:44:53Z,99,12219,4
2026-09-01T23:44:58Z,100,12246,4
2026-09-01T23:45:03Z,100,12229,4
2026-09-01T23:45:08Z,100,12216,4
2026-09-01T23:45:13Z,100,12216,4
2026-09-01T23:45:18Z,100,12216,4
2026-09-01T23:45:23Z,100,12216,4
2026-09-01T23:45:28Z,100,12216,4
2026-09-01T23:45:33Z,100,12216,4
2026-09-01T23:45:38Z,100,12216,4
2026-09-01T23:45:43Z,100,12216,4
2026-09-01T23:45:48Z,100,12216,4
2026-09-01T23:45:53Z,100,12216,4
2026-09-01T23:45:58Z,100,12216,4
2026-09-01T23:46:03Z,100,12216,4
2026-09-01T23:46:08Z,100,12216,4
2026-09-01T23:46:13Z,100,12216,4
2026-09-01T23:46:18Z,100,12216,4
2026-09-01T23:46:24Z,100,12216,4
2026-09-01T23:46:29Z,100,12216,4
2026-09-01T23:46:34Z,100,12216,4
2026-09-01T23:46:39Z,100,12216,4
2026-09-01T23:46:44Z,100,9795,3
2026-09-01T23:46:49Z,100,12082,4
2026-09-01T23:46:54Z,100,12082,4
2026-09-01T23:46:59Z,100,11136,4
2026-09-01T23:47:04Z,100,12210,4
2026-09-01T23:47:09Z,100,12210,4
2026-09-01T23:47:14Z,100,14532,4
2026-09-01T23:47:19Z,100,14532,4
2026-09-01T23:47:24Z,100,14532,4
2026-09-01T23:47:29Z,100,14532,4
2026-09-01T23:47:34Z,100,14532,4
2026-09-01T23:47:39Z,100,11247,3
2026-09-01T23:47:44Z,100,12562,4
2026-09-01T23:47:49Z,100,10887,3
2026-09-01T23:47:54Z,100,12684,4
2026-09-01T23:47:59Z,100,11980,4
2026-09-01T23:48:04Z,100,12794,4
2026-09-01T23:48:09Z,100,11328,4
2026-09-01T23:48:14Z,100,12662,4
2026-09-01T23:48:19Z,100,12730,4
2026-09-01T23:48:25Z,100,14014,4
2026-09-01T23:48:30Z,100,14014,4
2026-09-01T23:48:35Z,100,14014,4
2026-09-01T23:48:40Z,100,14014,4
2026-09-01T23:48:45Z,100,14014,4
2026-09-01T23:48:50Z,100,14014,4
2026-09-01T23:48:55Z,100,14014,4
2026-09-01T23:49:00Z,100,14014,4
2026-09-01T23:49:05Z,100,14014,4
2026-09-01T23:49:10Z,100,14014,4
2026-09-01T23:49:15Z,100,14014,4
2026-09-01T23:49:20Z,100,14014,4
2026-09-01T23:49:25Z,100,14014,4
2026-09-01T23:49:30Z,100,14014,4
2026-09-01T23:49:35Z,100,14014,4
2026-09-01T23:49:40Z,100,14014,4
2026-09-01T23:49:45Z,100,14014,4
2026-09-01T23:49:50Z,100,14014,4
2026-09-01T23:49:55Z,100,14014,4
2026-09-01T23:50:00Z,100,14014,4
2026-09-01T23:50:05Z,100,14014,4
2026-09-01T23:50:10Z,100,14014,4
2026-09-01T23:50:15Z,100,14014,4
2026-09-01T23:50:20Z,100,14014,4
2026-09-01T23:50:26Z,100,14014,4
2026-09-01T23:50:31Z,100,11277,3
2026-09-01T23:50:36Z,100,12836,4
2026-09-01T23:50:41Z,100,12628,4
2026-09-01T23:50:46Z,100,12962,4
2026-09-01T23:50:51Z,100,14246,4
2026-09-01T23:50:56Z,100,14246,4
2026-09-01T23:51:01Z,100,14246,4
2026-09-01T23:51:06Z,100,14246,4
2026-09-01T23:51:11Z,100,14246,4
2026-09-01T23:51:16Z,100,14246,4
2026-09-01T23:51:21Z,100,14248,4
2026-09-01T23:51:26Z,100,14248,4
2026-09-01T23:51:31Z,100,14248,4
2026-09-01T23:51:36Z,100,14248,4
2026-09-01T23:51:41Z,100,14248,4
2026-09-01T23:51:46Z,100,14248,4
2026-09-01T23:51:51Z,100,14248,4
2026-09-01T23:51:56Z,100,14248,4
2026-09-01T23:52:01Z,100,11319,3
2026-09-01T23:52:06Z,100,12878,4
2026-09-01T23:52:11Z,100,14542,4
2026-09-01T23:52:16Z,100,12980,4
2026-09-01T23:52:22Z,100,14266,4
2026-09-01T23:52:27Z,100,14266,4
2026-09-01T23:52:32Z,100,14266,4
2026-09-01T23:52:37Z,100,14266,4
2026-09-01T23:52:42Z,100,14266,4
2026-09-01T23:52:47Z,100,14266,4
2026-09-01T23:52:52Z,100,14266,4
2026-09-01T23:52:57Z,100,14266,4
2026-09-01T23:53:02Z,100,14242,4
2026-09-01T23:53:07Z,100,14242,4
2026-09-01T23:53:12Z,100,14242,4
2026-09-01T23:53:17Z,100,14242,4
2026-09-01T23:53:22Z,100,14242,4
2026-09-01T23:53:27Z,100,14242,4
2026-09-01T23:53:32Z,100,14242,4
2026-09-01T23:53:37Z,100,14242,4
2026-09-01T23:53:42Z,100,14242,4
2026-09-01T23:53:47Z,100,14242,4
2026-09-01T23:53:52Z,100,14242,4
2026-09-01T23:53:57Z,100,14242,4
2026-09-01T23:54:02Z,100,14242,4
2026-09-01T23:54:07Z,100,14242,4
2026-09-01T23:54:12Z,100,14242,4
2026-09-01T23:54:18Z,100,14242,4
2026-09-01T23:54:23Z,100,14242,4
2026-09-01T23:54:28Z,100,14242,4
2026-09-01T23:54:33Z,100,14242,4
2026-09-01T23:54:38Z,100,14242,4
2026-09-01T23:54:43Z,100,14242,4
2026-09-01T23:54:48Z,100,14242,4
2026-09-01T23:54:53Z,100,14242,4
2026-09-01T23:54:58Z,100,14242,4
2026-09-01T23:55:03Z,100,11270,3
2026-09-01T23:55:08Z,100,12830,4
2026-09-01T23:55:13Z,100,13454,4
2026-09-01T23:55:18Z,100,12932,4
2026-09-01T23:55:23Z,100,11024,3
2026-09-01T23:55:28Z,100,12584,4
2026-09-01T23:55:33Z,100,14270,4
2026-09-01T23:55:38Z,100,12708,4
2026-09-01T23:55:43Z,100,13992,4
2026-09-01T23:55:48Z,100,13992,4
2026-09-01T23:55:53Z,100,13992,4
