number	state	value	best_epoch	composite	composite_north	epochs_run	gap_ratio	n_params	p_batch	p_depth	p_dropout	p_film_hidden	p_local	p_lr	p_modes	p_wd	p_width	peak_vram_gb	r_array_share	r_centroid	r_integral	r_overlap80	r_peak_x	rn_array_share	rn_centroid	rn_integral	rn_overlap80	rn_peak_x	seconds	val_loss	val_mse_ref	wall_s
33	PRUNED	0.000135355							32	4	0.142166	32	conv3x3	0.000552731	28	0.00650008	48												173.404			
34	PRUNED	0.000133114							16	4	0.132294	128	conv1x1	0.000324338	32	0.022412	48												151.163			
35	PRUNED	0.000136603							8	4	0.25365	128	conv1x1	0.000225549	24	0.00239615	48												123.535			
36	COMPLETE	0.000116761	84	0.606312	0.68079	110	1.1115	37851457	8	4	0.2122	32	conv3x3	0.000321871	32	0.030829	48	3.95564	0.184249	0.661988	0.963432	1.15002	0	0.335607	0.737303	0.837245	1.03687	0	832.628	0.000116761	0.000116761	832
37	PRUNED	0.000128966							8	6	0.243672	32	conv3x3	0.000244024	28	0.0321725	48												265.992			
38	PRUNED	0.000136522							8	5	0.180442	64	conv3x3	0.000207047	32	0.0700133	24												76.0841			
39	COMPLETE	0.000119002	39	0.620257	0.751735	65	1.1137	21043553	8	5	0.0895557	64	conv3x3	0.000795233	32	0.0551196	32	3.441	0.165492	0.757924	1.00466	1.17454	0	0.36489	0.857379	0.919993	1.10954	0	336.651	0.000119002	0.000119002	336.2
40	COMPLETE	0.000116632	81	0.535763	0.611244	107	1.05496	28390321	8	3	0.218964	32	conv3x3	0.000258466	32	0.0190296	48	3.11291	0.191994	0.636552	0.729006	0.92478	0	0.331411	0.696891	0.64939	0.930726	0	624.142	0.000116632	0.000116632	623.6
41	PRUNED	0.000145292							32	5	0.284832	32	conv3x3	0.000413317	32	0.0296299	32												124.732			
42	PRUNED	0.00013633							8	4	0.261975	32	conv1x1	0.000432543	28	0.0211272	24												50.0485			
43	COMPLETE	0.000117041	47	0.619	0.661292	73	0.983768	37851457	8	4	0.264835	32	conv3x3	0.000430699	32	0.0347766	48	3.441	0.207682	0.680252	0.931964	1.11505	0	0.294994	0.821768	0.823769	0.957646	0	565.901	0.000117041	0.000117041	565.3
44	COMPLETE	0.000117168	79	0.566369	0.600827	105	1.05133	21754801	8	3	0.286179	32	conv3x3	0.00036344	28	0.00208806	48	3.95564	0.184161	0.611621	0.848689	1.07639	0	0.285771	0.644281	0.637242	1.11071	0	580.529	0.000117168	0.000117168	579.9
45	PRUNED	0.000130494							8	3	0.295694	32	conv3x3	0.000234481	28	0.00138651	48												116.177			
46	COMPLETE	0.000117868	74	0.752654	0.785324	100	1.06115	28390321	16	3	0.262491	32	conv3x3	0.000659083	32	0.029804	48	3.11291	0.159055	1.05511	1.25327	1.52577	0	0.350066	0.985655	0.787038	1.40063	0	618.155	0.000117868	0.000117868	617.6
47	PRUNED	0.000139139							16	4	0.269701	32	conv3x3	0.000223841	32	0.0196766	48												164.381			
48	PRUNED	0.000136447							16	3	0.233761	32	conv3x3	0.000258821	32	0.0619114	48												132.377			
49	COMPLETE	0.000117778	73	0.505789	0.580262	99	1.10591	37851457	8	4	0.27666	32	conv3x3	0.000524455	32	0.0492099	48	3.95564	0.164683	0.582713	0.733404	0.929886	0	0.322758	0.621466	0.609899	0.926714	0	748.516	0.000117778	0.000117778	748
50	COMPLETE	0.000118044	52	0.580051	0.675158	78	1.05688	12895265	8	4	0.203196	32	conv3x3	0.000694315	28	0.0540538	32	3.441	0.250653	0.678374	0.716207	0.929574	0	0.386643	0.818377	0.712693	0.921418	0	293.166	0.000118044	0.000118044	292.7
51	PRUNED	0.000133686							8	3	0.260937	32	conv3x3	0.000467991	32	0.0286021	24												47.9764			
52	PRUNED	0.000127042							8	3	0.166074	32	conv1x1	0.000348013	28	0.0105945	48												129.017			
53	COMPLETE	0.000118662	66	0.705051	0.794337	92	1.05866	4210433	16	4	0.090923	32	conv3x3	0.00106025	32	0.0647023	16	3.441	0.262926	0.949765	0.965165	1.02526	0	0.348246	0.91538	1.06228	1.17569	0	178.94	0.000118662	0.000118662	178.4
54	COMPLETE	0.000116977	79	0.549071	0.599452	105	1.05013	37851457	8	4	0.261031	32	conv3x3	0.000233634	32	0.0593181	48	3.11291	0.212613	0.605282	0.760788	0.928326	0	0.355089	0.614377	0.630113	0.939348	0	809.537	0.000116977	0.000116977	809
55	PRUNED	0.000131757							8	4	0.287153	32	conv3x3	0.00022498	32	0.0383906	48												160.302			
56	COMPLETE	0.000116982	80	0.520186	0.601571	106	1.11925	37851457	8	4	0.204397	32	conv3x3	0.000492893	32	0.0999384	48	3.441	0.149735	0.646976	0.796541	0.948884	0	0.290867	0.703845	0.653084	0.979507	0	818.773	0.000116982	0.000116982	818.2
57	COMPLETE	0.00011755	57	0.590267	0.793718	83	1.07588	28390321	8	3	0.145473	32	conv3x3	0.00037705	32	0.000368664	48	3.95564	0.185466	0.85622	0.818912	0.933484	0	0.442808	1.22086	0.795625	0.922732	0	491.411	0.00011755	0.00011755	490.8
58	PRUNED	0.000132471							8	3	0.247024	64	conv3x3	0.00023758	32	0.0454637	48												118.307			
59	PRUNED	0.000136926							8	4	0.170294	32	conv3x3	0.000294094	32	0.0156057	16												45.4627			
60	COMPLETE	0.000116886	67	0.571173	0.680684	93	1.06343	21754801	8	3	0.16756	32	conv3x3	0.000397181	28	0.0768176	48	3.95564	0.186004	0.718224	0.810442	0.983033	0	0.428185	0.686776	0.799288	0.913337	0	513.49	0.000116886	0.000116886	512.9
61	COMPLETE	0.00011813	51	0.831027	0.885638	77	1.02555	12628129	8	3	0.236037	64	conv3x3	0.00044816	32	8.1453e-05	32	3.11291	0.235256	1.27104	1.13331	1.40738	0	0.392709	1.31092	0.862773	1.38511	0	234.993	0.00011813	0.00011813	234.4
62	PRUNED	0.000216085							16	5	0.239859	32	conv1x1	0.000288605	32	0.0118162	16												41.7785			
63	PRUNED	0.000124769							8	3	0.198551	32	conv3x3	0.000286024	24	0.06829	48												179.488			
64	COMPLETE	0.000117606	72	0.59628	0.677012	98	1.10695	29004097	8	4	0.180902	32	conv3x3	0.000434244	28	0.0648162	48	3.11291	0.18068	0.805	0.928883	0.935698	0	0.430051	0.819194	0.608992	0.979188	0	702.46	0.000117606	0.000117606	701.8
65	PRUNED	0.000130559							8	5	0.285896	64	conv3x3	0.000218518	20	0.047352	48												147.332			
66	PRUNED	0.000138124							8	5	0.253739	32	conv1x1	0.000421262	32	0.0687582	48												179.232			
67	COMPLETE	0.000118567	71	0.580547	0.627881	97	1.104	37851457	8	4	0.192023	32	conv3x3	0.000341991	32	0.0303867	48	3.441	0.231091	0.642582	0.801898	0.953935	0	0.340516	0.682878	0.698226	0.957265	0	754.175	0.000118567	0.000118567	753.6
68	COMPLETE	0.000117321	78	0.544323	0.647234	104	1.12456	28390321	8	3	0.179993	32	conv3x3	0.000407921	32	0.0228504	48	3.95564	0.183182	0.617258	0.805436	0.96393	0	0.341065	0.65229	0.806409	0.978166	0	606.461	0.000117321	0.000117321	605.8
69	PRUNED	0.000133202							8	3	0.195145	32	conv3x3	0.000252214	32	0.005477	32												63.5687			
70	PRUNED	0.000142865							32	3	0.283343	128	conv3x3	0.000200231	24	0.0184537	48												123.62			
71	PRUNED	0.000130224							16	3	0.122181	64	conv3x3	0.000282578	28	0.0311445	48												122.881			
72	COMPLETE	0.000117595	59	0.521752	0.576522	85	1.04742	47312593	8	5	0.160197	32	conv3x3	0.00020105	32	0.00828294	48	3.11291	0.171148	0.62622	0.733165	0.943095	0	0.302625	0.616642	0.612672	0.966269	0	800.979	0.000117595	0.000117595	800.4
73	PRUNED	0.000134533							8	4	0.266589	32	conv3x3	0.000212151	28	0.00985163	24												59.5032			
74	PRUNED	0.000142661							32	3	0.281767	32	conv3x3	0.000354998	32	1.72747e-05	48												129.638			
75	PRUNED	0.000141252							32	5	0.236018	64	conv3x3	0.000317838	32	0.0044994	48												207.656			
76	PRUNED	0.000137956							8	4	0.234886	64	conv1x1	0.0002595	32	0.00801736	32												82.1891			
77	PRUNED	0.000133774							16	3	0.288813	32	conv3x3	0.000427166	20	3.70596e-05	48												111.162			
78	PRUNED	0.00014327							32	4	0.236427	32	conv3x3	0.000310549	24	0.0522583	48												159.261			
79	PRUNED	0.000145019							8	3	0.281544	32	conv1x1	0.00029992	32	0.0491294	16												32.8417			
80	PRUNED	0.000210099							32	4	0.259608	32	conv1x1	0.000227919	28	0.0717746	48												147.034			
81	COMPLETE	0.000119467	59	0.654237	0.698392	85	1.08266	21348897	8	4	0.266575	64	conv3x3	0.000570824	24	3.16594e-05	48	3.47656	0.262908	0.896971	0.86009	0.903263	0	0.332238	1.03021	0.744123	0.934069	0	555.656	0.000119466	0.000119467	555.1
82	PRUNED	0.000132691							8	5	0.2801	64	conv3x3	0.00022929	32	0.0578088	48												196.271			
83	COMPLETE	0.000119912	58	0.764348	0.984716	84	1.03817	21783121	8	3	0.295098	128	conv3x3	0.000340643	28	0.00366609	48	3.95564	0.23154	0.919722	1.21168	1.3228	0	0.391318	1.12279	1.20895	1.77014	0	477.078	0.000119912	0.000119912	476.4
84	PRUNED	0.000125254							8	3	0.235855	32	conv3x3	0.000351288	32	0.0846388	48												204.615			
85	PRUNED	0.000128018							8	3	0.290989	128	conv3x3	0.000716716	28	0.0446946	48												174.824			
86	COMPLETE	0.000118725	42	0.671871	0.695411	68	1.03106	47312593	16	5	0.161621	32	conv3x3	0.000709045	32	0.0960453	48	3.47656	0.193383	0.782076	0.954889	1.41099	0	0.37498	0.736587	0.614126	1.37872	0	647.542	0.000118725	0.000118725	647
87	COMPLETE	0.000118985	49	0.641951	0.712911	75	1.06117	28390321	8	3	0.208317	32	conv3x3	0.000445551	32	0.00292723	48	3.11291	0.15891	0.792249	1.05668	1.27659	0	0.257704	0.873413	0.842247	1.36258	0	448.885	0.000118985	0.000118985	448.3
88	COMPLETE	0.000117908	53	0.756547	0.73595	79	1.06868	37851457	8	4	0.242216	32	conv3x3	0.000782769	32	0.000726193	48	3.95564	0.208925	0.933774	1.15826	1.4498	0	0.261511	0.818981	0.965577	1.41854	0	614.256	0.000117908	0.000117908	613.6
89	PRUNED	0.000130889							8	4	0.29682	32	conv3x3	0.00031249	28	0.0128183	32												94.9881			
90	COMPLETE	0.000117304	55	0.763324	0.853087	81	1.10321	12621761	8	3	0.0769674	32	conv3x3	0.000987881	32	0.0991348	32	3.47656	0.15039	1.06878	1.2997	1.62512	0	0.312619	1.02019	1.01806	1.63119	0	238.495	0.000117304	0.000117304	237.9
91	PRUNED	0.000133129							8	5	0.22465	32	conv3x3	0.000712563	32	0.0186025	16												47.7471			
92	COMPLETE	0.000119028	84	0.554308	0.608135	110	1.09455	4005385	8	3	0.14033	32	conv3x3	0.00050071	24	0.064324	24	3.11291	0.201991	0.601859	0.77144	1.00665	0	0.350361	0.614109	0.646146	0.983799	0	239.836	0.000119028	0.000119028	239.2
93	PRUNED	0.000152122							32	3	0.143809	32	conv3x3	0.000256657	28	0.00675863	24												56.0322			
94	COMPLETE	0.000118445	56	0.52344	0.60334	82	1.10897	37851457	8	4	0.13706	32	conv3x3	0.000445782	32	1.38518e-05	48	3.95564	0.144672	0.616851	0.824056	1.02082	0	0.282339	0.603006	0.738148	1.05442	0	615.305	0.000118445	0.000118445	614.8
